Date,country,district_code,district,centx,centy,year_month,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,conflict_1#,conflict_2#,total_conflict#
2007-01-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_01,2007,1,,,0.3196162,101.2128,0.02322323,-0.001359891,0.5876506,0.101064,0,0,0.5862521,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-02-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_02,2007,2,,,0.2864346,103.716,0.04451701,-0.003517944,0.01762785,-0.02772186,0,0,0.5774034,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-03-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_03,2007,3,,,0.2560914,97.04796,0.4411164,-0.3143613,0.007623925,-0.1864518,0,0,0.570951,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-04-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_04,2007,4,,,0.2753264,95.33418,5.23548,1.678245,1.306954,0.2034907,0,0,0.5932051,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-05-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_05,2007,5,,,0.3797779,97.77318,11.2344,-2.360151,2.301993,-2.555527,0,0,0.6095322,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-06-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_06,2007,6,,,0.6243819,108.9344,24.21556,1.641132,14.02199,0.6272102,0,0,0.6345033,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-07-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_07,2007,7,,,0.7378097,104.2601,34.43467,6.90414,30.04971,5.345894,0,0,0.6299873,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-08-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_08,2007,8,,,0.67982,93.63951,37.70337,3.473762,27.65327,-1.71302,0,0,0.6471289,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-09-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_09,2007,9,,,0.6156185,91.38198,20.44036,-6.714736,16.27531,-7.759756,0,0,0.6699268,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-10-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_10,2007,10,,,0.592322,102.4951,12.57651,-2.105214,7.308511,-5.342726,0,0,0.6919993,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-11-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_11,2007,11,,,0.5294075,109.6308,1.435119,0.6864436,2.470762,0.4290189,0,0,0.7148728,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-12-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_12,2007,12,,,0.466531,125.7413,0.03594016,-0.000365826,0.3019098,-0.02205454,0,0,0.7055095,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2008-01-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_01,2008,1,,,0.4110123,130.1552,0.02582072,0.001237595,0.2199788,-0.2666077,0,0,0.7193832,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-02-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_02,2008,2,,,0.3362055,121.7377,0.04445999,-0.003574965,0.06502022,0.01967051,1,0,0.7222487,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-03-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_03,2008,3,,,0.3137059,118.8814,0.5142656,-0.241212,0.1464097,-0.047666,1,0,0.7253843,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-04-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_04,2008,4,,,0.3737517,129.4148,8.96524,5.408005,2.460346,1.356882,0,0,0.7321776,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-05-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_05,2008,5,,,0.512945,132.0568,8.547609,-5.046944,5.162226,0.3047059,0,0,0.7347228,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-06-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_06,2008,6,,,0.6137021,107.0711,21.45554,-1.118886,9.960282,-3.434494,0,0,0.7604471,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-07-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_07,2008,7,,,0.7293609,103.0662,23.42736,-4.103167,23.30479,-1.399027,0,0,0.7940815,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-08-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_08,2008,8,,,0.7237219,99.68662,25.4524,-8.777204,25.47765,-3.888639,0,0,0.8109411,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-09-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_09,2008,9,,,0.6547998,97.19802,24.3058,-2.849291,21.49812,-2.536949,0,0,0.8113447,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-10-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_10,2008,10,,,0.5550888,96.0523,8.279174,-6.402551,7.478077,-5.17316,0,0,0.8100517,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-11-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_11,2008,11,,,0.4607433,95.41167,0.2512256,-0.49745,0.2693618,-1.772381,0,0,0.8225559,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-12-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_12,2008,12,,,0.3815035,102.8244,0.03593951,-0.00036648,0.1131926,-0.2107717,0,0,0.8362364,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
