Date,country,district_code,district,centx,centy,year_month,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,conflict_1#,conflict_2#,total_conflict#
2007-01-01,South Sudan,127,Koch,29.85742,8.633903,2007_01,2007,1,,,0.4126942,111.0283,0.06911463,-0.004072414,0.9474377,0.3889636,0,0,0.6041926,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-01-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_01,2007,1,,,0.3196162,101.2128,0.02322323,-0.001359891,0.5876506,0.101064,0,0,0.5862521,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-02-01,South Sudan,127,Koch,29.85742,8.633903,2007_02,2007,2,,,0.3593437,113.411,0.04813941,-0.009821611,0.05121883,-0.03020916,0,0,0.585973,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-02-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_02,2007,2,,,0.2864346,103.716,0.04451701,-0.003517944,0.01762785,-0.02772186,0,0,0.5774034,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-03-01,South Sudan,127,Koch,29.85742,8.633903,2007_03,2007,3,,,0.3259038,106.6381,0.7181071,-0.2737035,0.05066482,-0.3503891,0,0,0.591194,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-03-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_03,2007,3,,,0.2560914,97.04796,0.4411164,-0.3143613,0.007623925,-0.1864518,0,0,0.570951,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-04-01,South Sudan,127,Koch,29.85742,8.633903,2007_04,2007,4,,,0.352599,104.3812,8.413269,3.008387,2.63233,0.593922,0,0,0.6169981,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-04-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_04,2007,4,,,0.2753264,95.33418,5.23548,1.678245,1.306954,0.2034907,0,0,0.5932051,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-05-01,South Sudan,127,Koch,29.85742,8.633903,2007_05,2007,5,,,0.4454834,98.46757,11.82517,-2.120759,3.723254,-3.411473,0,0,0.6392283,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-05-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_05,2007,5,,,0.3797779,97.77318,11.2344,-2.360151,2.301993,-2.555527,0,0,0.6095322,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-06-01,South Sudan,127,Koch,29.85742,8.633903,2007_06,2007,6,,,0.6770727,112.5492,24.39408,1.378814,17.20535,0.9425756,0,0,0.6608622,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-06-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_06,2007,6,,,0.6243819,108.9344,24.21556,1.641132,14.02199,0.6272102,0,0,0.6345033,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-07-01,South Sudan,127,Koch,29.85742,8.633903,2007_07,2007,7,,,0.7242439,106.0622,37.179,6.777084,29.79184,5.370899,0,0,0.6544135,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-07-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_07,2007,7,,,0.7378097,104.2601,34.43467,6.90414,30.04971,5.345894,0,0,0.6299873,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-08-01,South Sudan,127,Koch,29.85742,8.633903,2007_08,2007,8,,,0.7000916,99.769,36.63656,4.706516,28.34104,0.8171483,0,0,0.6743636,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-08-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_08,2007,8,,,0.67982,93.63951,37.70337,3.473762,27.65327,-1.71302,0,0,0.6471289,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-09-01,South Sudan,127,Koch,29.85742,8.633903,2007_09,2007,9,,,0.6485792,97.57514,18.54895,-5.767381,18.78995,-4.505328,0,0,0.6806941,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-09-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_09,2007,9,,,0.6156185,91.38198,20.44036,-6.714736,16.27531,-7.759756,0,0,0.6699268,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-10-01,South Sudan,127,Koch,29.85742,8.633903,2007_10,2007,10,,,0.6316941,101.6058,12.15448,-0.7312257,10.23984,-5.398094,0,0,0.713494,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-10-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_10,2007,10,,,0.592322,102.4951,12.57651,-2.105214,7.308511,-5.342726,0,0,0.6919993,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-11-01,South Sudan,127,Koch,29.85742,8.633903,2007_11,2007,11,,,0.6072775,110.2874,1.883906,0.6504095,4.991862,0.1807979,0,0,0.7173096,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-11-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_11,2007,11,,,0.5294075,109.6308,1.435119,0.6864436,2.470762,0.4290189,0,0,0.7148728,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2007-12-01,South Sudan,127,Koch,29.85742,8.633903,2007_12,2007,12,,,0.5563525,124.8763,0.06338701,-0.001089382,0.3657173,-0.216481,0,0,0.7111726,4428.075,10.10188,80686.66,5726.711,82.94444,0.0,0.0,0.0
2007-12-01,South Sudan,143,Rubkona,29.63566,9.268476,2007_12,2007,12,,,0.466531,125.7413,0.03594016,-0.000365826,0.3019098,-0.02205454,0,0,0.7055095,3578.829,21.51323,107390.8,5674.409,88.27273,0.0,0.0,0.0
2008-01-01,South Sudan,127,Koch,29.85742,8.633903,2008_01,2008,1,,,0.4877742,131.2273,0.0866509,0.01346386,0.3890018,-0.1694723,0,0,0.7281065,4428.075,10.10188,84151.84,5726.711,82.94444,0.0,0.0,0.0
2008-01-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_01,2008,1,,,0.4110123,130.1552,0.02582072,0.001237595,0.2199788,-0.2666077,0,0,0.7193832,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-02-01,South Sudan,127,Koch,29.85742,8.633903,2008_02,2008,2,,,0.383128,120.9174,0.05213621,-0.005824802,0.1058825,0.02445453,0,0,0.7187211,4428.075,10.10188,84151.84,5726.711,82.94444,0.0,0.0,0.0
2008-02-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_02,2008,2,,,0.3362055,121.7377,0.04445999,-0.003574965,0.06502022,0.01967051,1,0,0.7222487,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
2008-03-01,South Sudan,127,Koch,29.85742,8.633903,2008_03,2008,3,,,0.3482811,113.9601,0.7220865,-0.269724,0.2203507,-0.1807032,0,0,0.7370272,4428.075,10.10188,84151.84,5726.711,82.94444,0.0,0.0,0.0
2008-03-01,South Sudan,143,Rubkona,29.63566,9.268476,2008_03,2008,3,,,0.3137059,118.8814,0.5142656,-0.241212,0.1464097,-0.047666,1,0,0.7253843,3578.829,21.51323,112006.0,5674.409,88.27273,0.0,0.0,0.0
